"model","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"m1_lambda_only",0,0,-2028.7613469072,28.6514359197219,36.8514310881682,3.22277014781895,4057.5226938144,57.3028718394439
"m4_fac_on_alphaij",-2.11983319357646,1.87086396453491,-2030.88118010078,28.6565409203178,36.8412732503664,3.17709426176492,4061.76236020155,57.3130818406357
"m5_fac_on_alphaii_alphaij",-3.94167652069888,2.10276190191539,-2032.7030234279,28.7416101075224,36.6263448166218,3.22391697462603,4065.4060468558,57.4832202150448
