Site,Cov,BLK,BLK_cont,Row,Col,fitness,TROR,TRCY,NO_GRASS,focal_sp,CEC,pH,NO3.N,mean_percent_open,precip,pet,water_in_out,PC1,PC2
BEN,SH,1,2,2,2,4,0,0,0,TROR,865.4,5.685,74.7,52,119.6,1718.6,0.069591528,1.324266411,0.072751857
BEN,SH,1,2,2,3,10,0,0,0,TRCY,865.4,5.685,74.7,52,119.6,1718.6,0.069591528,1.324266411,0.072751857
BEN,SH,1,2,2,9,6,0,0,0,TROR,865.4,5.685,74.7,52,119.6,1718.6,0.069591528,1.324266411,0.072751857
BEN,SH,1,2,3,1,9,0,2,0,TRCY,865.4,5.685,74.7,52,119.6,1718.6,0.069591528,1.324266411,0.072751857
BEN,SH,1,2,3,2,6,0,0,0,TRCY,865.4,5.685,74.7,52,119.6,1718.6,0.069591528,1.324266411,0.072751857
BEN,SH,1,2,3,3,13,0,0,0,TROR,865.4,5.685,74.7,52,119.6,1718.6,0.069591528,1.324266411,0.072751857
BEN,SH,1,2,3,4,5,0,0,0,TROR,865.4,5.685,74.7,52,119.6,1718.6,0.069591528,1.324266411,0.072751857
BEN,SH,1,2,3,5,4,0,0,0,TROR,865.4,5.685,74.7,52,119.6,1718.6,0.069591528,1.324266411,0.072751857
BEN,SH,1,2,3,6,16,0,0,0,TRCY,865.4,5.685,74.7,52,119.6,1718.6,0.069591528,1.324266411,0.072751857
BEN,SH,1,2,3,7,4,0,0,0,TROR,865.4,5.685,74.7,52,119.6,1718.6,0.069591528,1.324266411,0.072751857
BEN,SH,1,2,3,9,13,0,0,0,TRCY,865.4,5.685,74.7,52,119.6,1718.6,0.069591528,1.324266411,0.072751857
BEN,SH,1,2,3,10,21,0,0,0,TRCY,865.4,5.685,74.7,52,119.6,1718.6,0.069591528,1.324266411,0.072751857
BEN,SH,1,2,4,1,8,0,0,0,TROR,865.4,5.685,74.7,52,119.6,1718.6,0.069591528,1.324266411,0.072751857
BEN,SH,1,2,4,2,15,0,0,0,TROR,865.4,5.685,74.7,52,119.6,1718.6,0.069591528,1.324266411,0.072751857
BEN,SH,1,2,4,3,13,0,0,0,TRCY,865.4,5.685,74.7,52,119.6,1718.6,0.069591528,1.324266411,0.072751857
BEN,SH,1,2,4,4,4,0,0,0,TRCY,865.4,5.685,74.7,52,119.6,1718.6,0.069591528,1.324266411,0.072751857
BEN,SH,1,2,4,5,6,0,0,0,TRCY,865.4,5.685,74.7,52,119.6,1718.6,0.069591528,1.324266411,0.072751857
BEN,SH,1,2,4,7,3,0,0,0,TROR,865.4,5.685,74.7,52,119.6,1718.6,0.069591528,1.324266411,0.072751857
BEN,SH,1,2,4,9,16,0,0,0,TROR,865.4,5.685,74.7,52,119.6,1718.6,0.069591528,1.324266411,0.072751857
BEN,SH,1,2,4,10,8,0,4,0,TRCY,865.4,5.685,74.7,52,119.6,1718.6,0.069591528,1.324266411,0.072751857
BEN,SH,1,2,5,1,29,0,0,0,TRCY,865.4,5.685,74.7,52,119.6,1718.6,0.069591528,1.324266411,0.072751857
BEN,SH,1,2,5,3,12,0,0,0,TRCY,865.4,5.685,74.7,52,119.6,1718.6,0.069591528,1.324266411,0.072751857
BEN,SH,1,2,5,8,11,0,0,0,TRCY,865.4,5.685,74.7,52,119.6,1718.6,0.069591528,1.324266411,0.072751857
BEN,SH,1,2,5,9,23,0,0,0,TRCY,865.4,5.685,74.7,52,119.6,1718.6,0.069591528,1.324266411,0.072751857
BEN,SH,1,2,5,10,13,0,0,0,TROR,865.4,5.685,74.7,52,119.6,1718.6,0.069591528,1.324266411,0.072751857
BEN,SH,1,2,6,1,4,0,0,0,TRCY,865.4,5.685,74.7,52,119.6,1718.6,0.069591528,1.324266411,0.072751857
BEN,SH,1,2,6,2,6,0,0,0,TRCY,865.4,5.685,74.7,52,119.6,1718.6,0.069591528,1.324266411,0.072751857
BEN,SH,1,2,6,4,81,0,0,0,TRCY,865.4,5.685,74.7,52,119.6,1718.6,0.069591528,1.324266411,0.072751857
BEN,SH,1,2,6,9,4,0,0,0,TROR,865.4,5.685,74.7,52,119.6,1718.6,0.069591528,1.324266411,0.072751857
BEN,SH,1,2,6,10,13,0,0,0,TRCY,865.4,5.685,74.7,52,119.6,1718.6,0.069591528,1.324266411,0.072751857
BEN,SH,1,2,7,1,4,0,0,0,TROR,865.4,5.685,74.7,52,119.6,1718.6,0.069591528,1.324266411,0.072751857
BEN,SH,1,2,7,2,11,0,0,0,TROR,865.4,5.685,74.7,52,119.6,1718.6,0.069591528,1.324266411,0.072751857
BEN,SH,1,2,7,3,4,0,0,0,TRCY,865.4,5.685,74.7,52,119.6,1718.6,0.069591528,1.324266411,0.072751857
BEN,SH,1,2,7,4,8,0,0,0,TROR,865.4,5.685,74.7,52,119.6,1718.6,0.069591528,1.324266411,0.072751857
BEN,SH,1,2,7,5,7,0,0,0,TRCY,865.4,5.685,74.7,52,119.6,1718.6,0.069591528,1.324266411,0.072751857
BEN,SH,1,2,7,6,9,0,0,0,TRCY,865.4,5.685,74.7,52,119.6,1718.6,0.069591528,1.324266411,0.072751857
BEN,SH,1,2,7,7,12,0,0,0,TRCY,865.4,5.685,74.7,52,119.6,1718.6,0.069591528,1.324266411,0.072751857
BEN,SH,1,2,7,9,2,0,0,0,TRCY,865.4,5.685,74.7,52,119.6,1718.6,0.069591528,1.324266411,0.072751857
BEN,SH,1,2,8,1,4,0,0,0,TRCY,865.4,5.685,74.7,52,119.6,1718.6,0.069591528,1.324266411,0.072751857
BEN,SH,1,2,8,2,6,0,0,0,TROR,865.4,5.685,74.7,52,119.6,1718.6,0.069591528,1.324266411,0.072751857
BEN,SH,1,2,8,3,6,0,2,0,TRCY,865.4,5.685,74.7,52,119.6,1718.6,0.069591528,1.324266411,0.072751857
BEN,SH,1,2,8,4,6,0,0,0,TROR,865.4,5.685,74.7,52,119.6,1718.6,0.069591528,1.324266411,0.072751857
BEN,SH,1,2,8,6,12,0,0,0,TRCY,865.4,5.685,74.7,52,119.6,1718.6,0.069591528,1.324266411,0.072751857
BEN,SH,1,2,8,7,8,0,0,0,TRCY,865.4,5.685,74.7,52,119.6,1718.6,0.069591528,1.324266411,0.072751857
BEN,SH,1,2,8,8,2,0,0,0,TRCY,865.4,5.685,74.7,52,119.6,1718.6,0.069591528,1.324266411,0.072751857
BEN,SH,3,3,1,2,4,0,0,0,TRCY,958.6,5.73,141.1,45.76,119.6,1718.6,0.069591528,1.655267021,0.029055808
BEN,SH,3,3,1,5,6,0,0,0,TROR,958.6,5.73,141.1,45.76,119.6,1718.6,0.069591528,1.655267021,0.029055808
BEN,SH,3,3,1,6,4,0,0,0,TROR,958.6,5.73,141.1,45.76,119.6,1718.6,0.069591528,1.655267021,0.029055808
BEN,SH,3,3,1,8,1,0,0,0,TRCY,958.6,5.73,141.1,45.76,119.6,1718.6,0.069591528,1.655267021,0.029055808
BEN,SH,3,3,1,10,4,0,0,0,TROR,958.6,5.73,141.1,45.76,119.6,1718.6,0.069591528,1.655267021,0.029055808
BEN,SH,3,3,2,1,7,0,0,0,TRCY,958.6,5.73,141.1,45.76,119.6,1718.6,0.069591528,1.655267021,0.029055808
BEN,SH,3,3,2,2,3,0,0,0,TRCY,958.6,5.73,141.1,45.76,119.6,1718.6,0.069591528,1.655267021,0.029055808
BEN,SH,3,3,2,4,4,0,0,0,TROR,958.6,5.73,141.1,45.76,119.6,1718.6,0.069591528,1.655267021,0.029055808
BEN,SH,3,3,2,7,3,0,0,0,TROR,958.6,5.73,141.1,45.76,119.6,1718.6,0.069591528,1.655267021,0.029055808
BEN,SH,3,3,3,1,3,0,0,0,TRCY,958.6,5.73,141.1,45.76,119.6,1718.6,0.069591528,1.655267021,0.029055808
BEN,SH,3,3,3,4,8,0,0,0,TROR,958.6,5.73,141.1,45.76,119.6,1718.6,0.069591528,1.655267021,0.029055808
BEN,SH,3,3,3,5,2,0,0,0,TRCY,958.6,5.73,141.1,45.76,119.6,1718.6,0.069591528,1.655267021,0.029055808
BEN,SH,3,3,3,6,6,0,0,0,TROR,958.6,5.73,141.1,45.76,119.6,1718.6,0.069591528,1.655267021,0.029055808
BEN,SH,3,3,3,7,5,0,0,0,TRCY,958.6,5.73,141.1,45.76,119.6,1718.6,0.069591528,1.655267021,0.029055808
BEN,SH,3,3,3,8,17,0,0,0,TROR,958.6,5.73,141.1,45.76,119.6,1718.6,0.069591528,1.655267021,0.029055808
BEN,SH,3,3,3,10,2,0,0,0,TROR,958.6,5.73,141.1,45.76,119.6,1718.6,0.069591528,1.655267021,0.029055808
BEN,SH,3,3,4,1,14,0,0,0,TRCY,958.6,5.73,141.1,45.76,119.6,1718.6,0.069591528,1.655267021,0.029055808
BEN,SH,3,3,4,3,2,0,0,0,TRCY,958.6,5.73,141.1,45.76,119.6,1718.6,0.069591528,1.655267021,0.029055808
BEN,SH,3,3,4,5,3,0,0,0,TRCY,958.6,5.73,141.1,45.76,119.6,1718.6,0.069591528,1.655267021,0.029055808
BEN,SH,3,3,4,6,4,0,0,0,TROR,958.6,5.73,141.1,45.76,119.6,1718.6,0.069591528,1.655267021,0.029055808
BEN,SH,3,3,4,7,4,0,0,0,TRCY,958.6,5.73,141.1,45.76,119.6,1718.6,0.069591528,1.655267021,0.029055808
BEN,SH,3,3,4,9,3,0,0,0,TRCY,958.6,5.73,141.1,45.76,119.6,1718.6,0.069591528,1.655267021,0.029055808
BEN,SH,3,3,5,2,10,0,0,0,TROR,958.6,5.73,141.1,45.76,119.6,1718.6,0.069591528,1.655267021,0.029055808
BEN,SH,3,3,5,3,2,0,0,0,TRCY,958.6,5.73,141.1,45.76,119.6,1718.6,0.069591528,1.655267021,0.029055808
BEN,SH,3,3,5,5,7,0,0,0,TRCY,958.6,5.73,141.1,45.76,119.6,1718.6,0.069591528,1.655267021,0.029055808
BEN,SH,3,3,5,6,13,0,2,0,TRCY,958.6,5.73,141.1,45.76,119.6,1718.6,0.069591528,1.655267021,0.029055808
BEN,SH,3,3,5,10,14,0,0,0,TROR,958.6,5.73,141.1,45.76,119.6,1718.6,0.069591528,1.655267021,0.029055808
BEN,SH,3,3,6,1,6,0,0,0,TROR,958.6,5.73,141.1,45.76,119.6,1718.6,0.069591528,1.655267021,0.029055808
