"Estimate","Est.Error","Q2.5","Q97.5","term"
-0.355828070761147,0.144912497763702,-0.64279226916379,-0.0707778665598339,"focspTRCY:SiteGH"
-0.237238547340319,0.148706594211008,-0.528875273543454,0.0539600658952478,"focspTROR:SiteGH"
0.0402243765629158,0.144731759814603,-0.246623982889386,0.322105960929525,"focspTRCY:SiteNAM"
-0.255043170516193,0.151566493790023,-0.555507404093967,0.0337309276612916,"focspTROR:SiteNAM"
0.33920298593518,0.134225131423709,0.0753056893976751,0.594041186645408,"focspTRCY:SitePJ"
-0.0401433949506706,0.139567089405224,-0.31625466186559,0.230879183785702,"focspTROR:SitePJ"
0.0972206218150344,0.049959883420991,0.00150367566654347,0.196873691728348,"focspTRCY:fac_sc"
0.111703178611976,0.0542669524596312,0.0109589522169465,0.22230441931321,"focspTROR:fac_sc"
0.132243030867675,0.120478623932962,-0.0920575954652005,0.378347617058515,"focspTRCY:SiteGH:fac_sc"
-0.0206969819856656,0.0887701527734487,-0.187037183269174,0.160310931604069,"focspTROR:SiteGH:fac_sc"
0.0569455349030617,0.0786539510958588,-0.0923330386544725,0.21315817447993,"focspTRCY:SiteNAM:fac_sc"
-0.103609368407871,0.0841483395693355,-0.265811033210512,0.0664511765899945,"focspTROR:SiteNAM:fac_sc"
0.0526705842745102,0.10480437410713,-0.13590652496723,0.276257614205631,"focspTRCY:SitePJ:fac_sc"
-0.108128988209726,0.167509237545326,-0.399771606526326,0.265059246396739,"focspTROR:SitePJ:fac_sc"
