"dens_trt","focsp","n","mean_intra","mean_inter","mean_fac","sd_intra","sd_inter","sd_fac"
"High density monoculture","TRCY",173,15.6184971098266,0,0.341040462427746,15.3994904795748,0,0.967130173042433
"High density monoculture","TROR",167,9.04790419161677,0.0538922155688623,0.347305389221557,8.3916254749153,0.315416821753472,0.987440062006357
"Invasion when rare (IWR)","TRCY",181,0.270718232044199,7.15469613259669,0.486187845303867,2.14441756742923,8.23058945785891,1.21841306080505
"Invasion when rare (IWR)","TROR",187,0.171122994652406,15.8663101604278,0.491978609625668,2.34007175720682,16.178715898978,1.17486665432889
"IWR + Facilitator","TRCY",186,0.17741935483871,8.68279569892473,0.956989247311828,2.06796042788518,8.16660468871974,1.85072069815693
"IWR + Facilitator","TROR",180,0,16.0388888888889,0.894444444444444,0,15.6941308066199,2.17270323662442
"lambda","TRCY",134,0.156716417910448,0.00746268656716418,0.447761194029851,0.979906989693527,0.086386842558136,1.22975126881188
"lambda","TROR",90,0.288888888888889,0.0888888888888889,0.344444444444444,2.11598753444877,0.744182598778414,0.823272602348565
