"Estimate","Est.Error","Q2.5","Q97.5","term"
1.40437759532084,0.794881790623318,-0.344042152272989,2.48143727390479,"focspTRCY"
1.58078313402199,0.792901454048735,-0.167317934991029,2.66001570625961,"focspTROR"
-0.28923240445104,0.129046566409284,-0.546060139637447,-0.0410776736405759,"focspTRCY:SiteGH"
-0.283843448317214,0.134044642140883,-0.546087129419204,-0.0164539490892282,"focspTROR:SiteGH"
0.0785499493727535,0.124230613714803,-0.171480624723528,0.318368968875675,"focspTRCY:SiteNAM"
-0.337643468592129,0.133184290559413,-0.593899046402889,-0.0773639876718104,"focspTROR:SiteNAM"
0.361084067044019,0.123994679015048,0.114873478114207,0.602597834430115,"focspTRCY:SitePJ"
-0.0979588145253305,0.131923799359961,-0.357498615674802,0.157904655254712,"focspTROR:SitePJ"
0.837009300671763,0.0960258120298641,0.648234837032425,1.02378115825861,"focspTRCY:CovSUN"
0.588195101558769,0.0986185189531875,0.393158743383228,0.783903777070111,"focspTROR:CovSUN"
0.201683746636603,0.0695593962319039,0.0716257747270567,0.343793295314844,"focspTRCY:fac_sc"
0.0459667615059398,0.0959465317418541,-0.133164418810674,0.246577193318475,"focspTROR:fac_sc"
-0.0151840497176062,0.00417289241479951,-0.0232082548836977,-0.00685058127403953,"focspTRCY:intra_sc"
-0.0197851114546658,0.00750969221214167,-0.0340004548481403,-0.0051030765463635,"focspTROR:intra_sc"
-0.0278761934839907,0.00624352302777264,-0.0401844404336895,-0.0155876488232573,"focspTRCY:inter_sc"
-0.0116432103378935,0.00322915065035228,-0.0178585990327126,-0.00529974359658941,"focspTROR:inter_sc"
-0.0962417842182747,0.0783470123788036,-0.256325866224916,0.0523923705753165,"focspTRCY:CovSUN:fac_sc"
0.0266881196138635,0.102143617347402,-0.182913936721212,0.219029085751362,"focspTROR:CovSUN:fac_sc"
