"model","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"BH_gaussian_logfit",0,0,-2063.96658494516,28.2255895453151,28.5971965589033,2.99399066402811,4127.93316989032,56.4511790906301
"Ricker_gaussian_logfit",-0.293712280678649,0.453194321824753,-2064.26029722584,28.2405582927731,28.9768290460162,3.24188215413542,4128.52059445168,56.4811165855462
"BH_negbin_count",-2946.03516715613,47.0429415920025,-5010.00175210129,49.5518356472017,35.1415858773957,4.02062469506855,10020.0035042026,99.1036712944035
"Ricker_negbin_count",-2946.99241421996,47.1308958279308,-5010.95899916512,49.5974502073006,34.3921072024469,3.866432192413,10021.9179983302,99.1949004146013
"Ricker_gaussian_raw",-4224.43603396358,91.4421440226799,-6288.40261890874,99.9911306265054,56.0138405127333,10.6529992027934,12576.8052378175,199.982261253011
"BH_gaussian_raw",-4225.04487774873,91.8282710224317,-6289.01146269389,100.361607259788,58.7811006611244,11.0969660361512,12578.0229253878,200.723214519577
"BH_poisson_count",-12424.8364530638,797.354507801392,-14488.8030380089,814.72529721034,640.159518228185,69.1330138698964,28977.6060760179,1629.45059442068
"Ricker_poisson_count",-12452.6442285218,798.234109982423,-14516.610813467,815.610013813473,626.493222611431,69.5967169706981,29033.2216269339,1631.22002762695
