"model","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"m1_species",0,0,-2028.61838995014,28.6433786312741,36.6844610706445,3.16048046568057,4057.23677990028,57.2867572625483
"m3_cov",-3.04488478121653,2.45326511412252,-2031.66327473136,28.633566617526,36.00809004979,3.20718434976959,4063.32654946271,57.2671332350521
"m2_site_cov",-5.34893792591676,3.46356681012381,-2033.96732787606,28.5568262462515,35.8013371138271,3.19106601330387,4067.93465575212,57.113652492503
