cons_x,fac_x.trend,SE,df,asymp.LCL,asymp.UCL,z.ratio,p.value,estimate_exp,lower_exp,upper_exp,percent_change_per_1SD,lower_percent,upper_percent,context_axis,hetero_x
-1,0.24283539577445018,0.07071096841487581,Inf,0.1042444443693443,0.38142634717955604,3.434197002502991,5.943120929546527e-4,1.2748587597078218,1.1098717236527154,1.4643718031258897,27.485875970782182,10.987172365271537,46.437180312588964,conspecific_density,NA
0,0.07003466164013358,0.046710558490168176,Inf,-0.02151635069834766,0.16158567397861484,1.4993325685642307,0.13378737732670348,1.0725453567911143,0.9787134746895262,1.1753731527392133,7.254535679111429,-2.1286525310473814,17.53731527392133,conspecific_density,NA
1,-0.10276607249418301,0.06294355411626334,Inf,-0.22613317162100702,0.02060102663264099,-1.6326703176684827,0.10253835337781578,0.9023380304794093,0.7976118753262927,1.0208146925048915,-9.766196952059069,-20.238812467370725,2.081469250489154,conspecific_density,NA
NA,0.20494401758614864,0.08199474693847218,Inf,0.04423726666526734,0.36565076850702993,2.4994774084727163,0.012437662906112904,1.2274563470704927,1.0452303237832645,1.4414517543944234,22.745634707049266,4.5230323783264526,44.14517543944234,heterospecific_density,-1
NA,0.07003466164013358,0.046710558490168176,Inf,-0.02151635069834766,0.16158567397861484,1.4993325685642307,0.13378737732670348,1.0725453567911143,0.9787134746895262,1.1753731527392133,7.254535679111429,-2.1286525310473814,17.53731527392133,heterospecific_density,0
NA,-0.06487469430588147,0.06081170355127325,Inf,-0.18406344310490352,0.054314054493140584,-1.0668126448913327,0.2860564474157689,0.9371848906233354,0.8318830249104434,1.0558161338936187,-6.281510937666457,-16.81169750895566,5.5816133893618725,heterospecific_density,1
