contrast,ratio,SE,df,asymp.LCL,asymp.UCL,null,z.ratio,p.value,percent_change,lower_percent,upper_percent,species
GH / Ben,0.899407845002446,0.29656278402610337,Inf,0.40057240036439207,2.019446349563958,1,-0.32153068295442516,0.9757479344946464,-10.059215499755403,-59.942759963560796,101.9446349563958,TRCY
Nam / Ben,0.9393536574283553,0.3084392385586076,Inf,0.4197803268504492,2.1020167865998785,1,-0.19053674030156129,0.9930102943937522,-6.064634257164469,-58.02196731495508,110.20167865998785,TRCY
PJ / Ben,1.7540743410829933,0.5700436070635921,Inf,0.7903713453050509,3.892824319001883,1,1.729142757861034,0.2516483752183021,75.40743410829933,-20.962865469494908,289.2824319001883,TRCY
CS / Ben,0.267127982390414,0.09956112413346627,Inf,0.10706739822869449,0.6664714017198308,1,-3.5417062563275654,0.0015417569756526195,-73.2872017609586,-89.29326017713055,-33.352859828016925,TRCY
GH / Ben,0.830708492080065,0.2273101017515716,Inf,0.42455650476646384,1.6254057847812897,1,-0.677826314633117,0.8618906049363506,-16.929150791993496,-57.54434952335361,62.54057847812897,TROR
Nam / Ben,0.6560683827642918,0.1816207646992532,Inf,0.33268173030564363,1.2938063129210902,1,-1.522548533429828,0.3570983889075595,-34.39316172357082,-66.73182696943563,29.380631292109015,TROR
PJ / Ben,1.10904087681715,0.2999508969289312,Inf,0.5712366921388169,2.1531734277189183,1,0.3826653475243674,0.9633727108171012,10.904087681715001,-42.87633078611831,115.31734277189183,TROR
CS / Ben,0.24206247410350568,0.08402500201782304,Inf,0.10330600702293366,0.5671910381368491,1,-4.086640841718564,1.7266234238300093e-4,-75.79375258964943,-89.66939929770663,-43.28089618631509,TROR
