contrast,ratio,SE,df,asymp.LCL,asymp.UCL,null,z.ratio,p.value,percent_change,lower_percent,upper_percent
GH / Ben,0.8315640262044385,0.22794553640072365,Inf,0.4244909011260673,1.6290071891834768,1,-0.6728777311583873,0.8641480396733037,-16.84359737955615,-57.55090988739327,62.90071891834768
Nam / Ben,0.6577128987100013,0.18240444275024775,Inf,0.3331073640123622,1.2986391291951698,1,-1.5107800934270035,0.363720016363271,-34.22871012899987,-66.68926359876379,29.863912919516977
PJ / Ben,1.1104782775105246,0.30071041781632163,Inf,0.5715087953371525,2.157730580673317,1,0.3869766516213773,0.96239005851342,11.047827751052463,-42.84912046628475,115.77305806733169
CS / Ben,0.242458558035484,0.08481892806702308,Inf,0.1027901038541858,0.5719047861653881,1,-4.050339630409374,2.0160387479306596e-4,-75.7541441964516,-89.72098961458141,-42.80952138346119
