contrast,estimate,SE,df,asymp.LCL,asymp.UCL,z.ratio,p.value,context_axis
(cons_x-1) - cons_x0,0.1728007341343166,0.04794882433402143,Inf,0.06042304635345405,0.28517842191517917,3.603857582212046,9.147632457426891e-4,conspecific_density
(cons_x-1) - cons_x1,0.3456014682686332,0.09589764866804286,Inf,0.1208460927069081,0.5703568438303583,3.603857582212046,9.147632457426891e-4,conspecific_density
cons_x0 - cons_x1,0.1728007341343166,0.04794882433402143,Inf,0.06042304635345405,0.28517842191517917,3.603857582212046,9.147632457426891e-4,conspecific_density
(hetero_x-1) - hetero_x0,0.13490935594601505,0.05503384988071064,Inf,0.00592648962607531,0.26389222226595477,2.4513886678551406,0.03784428971397902,heterospecific_density
(hetero_x-1) - hetero_x1,0.2698187118920301,0.11006769976142128,Inf,0.01185297925215062,0.5277844445319095,2.4513886678551406,0.03784428971397902,heterospecific_density
hetero_x0 - hetero_x1,0.13490935594601505,0.05503384988071064,Inf,0.00592648962607531,0.26389222226595477,2.4513886678551406,0.03784428971397902,heterospecific_density
