"model","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"Ricker_gaussian_logfit",0,0,-2022.6446716453,28.5104442595247,27.0844757056958,1.22499093499133,4045.2893432906,57.0208885190493
"BH_gaussian_logfit",-0.664981473465389,0.403938379468076,-2023.30965311877,28.5294835547706,27.581862241557,1.25358697968676,4046.61930623753,57.0589671095411
"BH_negbin_count",-2937.20778659587,46.9628075698644,-4959.85245824116,49.1413008111928,36.3818526861188,3.95518845595166,9919.70491648233,98.2826016223855
"Ricker_negbin_count",-2938.52759623044,47.1255543626776,-4961.17226787573,49.2764610282471,36.245674141634,3.91855525798363,9922.34453575146,98.5529220564943
"BH_gaussian_raw",-4211.14731854321,91.589708209245,-6233.79199018851,99.068928181595,71.9311186882206,16.8484319091453,12467.583980377,198.13785636319
"Ricker_gaussian_raw",-4212.67761279339,91.098338822069,-6235.32228443868,98.5929165111462,69.368687780511,16.5030820305019,12470.6445688774,197.185833022292
"BH_poisson_count",-11495.7956710593,716.598720926806,-13518.4403427046,733.646619384923,748.083937332584,87.8329866379098,27036.8806854092,1467.29323876985
"Ricker_poisson_count",-11500.9253446148,710.909076158717,-13523.5700162601,728.032924638408,715.384382009178,81.2384461514615,27047.1400325202,1456.06584927682
