"Site","focsp","g_input_mean","g_draw_med","g_draw_lwr","g_draw_upr"
"BEN","TRCY",1,1,1,1
"GH","TRCY",1,1,1,1
"NAM","TRCY",1,1,1,1
"PJ","TRCY",1,1,1,1
"CS","TRCY",1,1,1,1
"BEN","TROR",1,1,1,1
"GH","TROR",1,1,1,1
"NAM","TROR",1,1,1,1
"PJ","TROR",1,1,1,1
"CS","TROR",1,1,1,1
