"sp_code","pooled_success","pooled_trials","pooled_mean","g_alpha_weak","g_beta_weak"
"TRCY",403,1584,0.254419191919192,1.01767676767677,2.98232323232323
"TROR",484,1785,0.271148459383753,1.08459383753501,2.91540616246499
