"evidence_site","sp_code","germ_success","germ_trials","n_rows_used","germ_fail","g_alpha","g_beta","g_mean"
"BEN","TRCY",3,60,2,57,4,58,0.0645161290322581
"BEN","TROR",14,90,3,76,15,77,0.16304347826087
"PJ","TRCY",400,1524,81,1124,401,1125,0.262778505897772
"PJ","TROR",470,1695,93,1225,471,1226,0.2775486152033
