"Site","focsp","g_source","g_mean_final"
"BEN","TRCY","direct",0.0645161290322581
"GH","TRCY","weak",0.254419191919192
"NAM","TRCY","weak",0.254419191919192
"PJ","TRCY","direct",0.262778505897772
"CS","TRCY","weak",0.254419191919192
"BEN","TROR","direct",0.16304347826087
"GH","TROR","weak",0.271148459383753
"NAM","TROR","weak",0.271148459383753
"PJ","TROR","direct",0.2775486152033
"CS","TROR","weak",0.271148459383753
