axis,eigenvalue,proportion_explained
PC1,2.997761533899524,0.4282516476999321
PC2,1.4830321129574313,0.21186173042249026
PC3,1.3950115761991242,0.19928736802844638
PC4,0.6385897702024322,0.09122711002891892
PC5,0.29700244371034135,0.04242892053004878
PC6,0.1876749608974833,0.026810708699640484
PC7,9.276021336610743e-4,1.3251459052301067e-4
