focsp,n,zeros,zero_prop,mean_fecundity,var_fecundity,var_to_mean,median_fecundity,q95_fecundity,q99_fecundity,max_fecundity,skew_fecundity_raw,skew_fecundity_log1p
TRCY,725,78,0.10758620689655173,17.307586206896552,721.6331606020194,41.69461598951738,8,65.79999999999995,135,241,3.469252342258619,0.010151136900939104
TROR,662,76,0.1148036253776435,12.86404833836858,409.47014273896093,31.83058178642463,6,45.899999999999864,93.11999999999989,260,5.285265848719481,-0.07814809059420268
