model,density_form,family_name,usable,n,logLik,AIC,BIC,df,dropped_reason,nonestimable_terms,n_NA_fixed,n_NA_vcov,delta_AIC,species,analysis_label,selection_stage
broad_facilitation_context,NA,NA,TRUE,725,-2603.8738213027423,5253.7476426054845,5359.2295906671425,23,NA,NA,0,0,15.554946030820247,TRCY,primary_full_data_auto_density,fixed_structure
site_density,NA,NA,TRUE,725,-2600.249956427569,5256.499912855138,5384.912719191069,28,NA,NA,0,0,18.307216280473767,TRCY,primary_full_data_auto_density,fixed_structure
density_pairwise_diagnostic,NA,NA,FALSE,725,-2604.7352860577557,5245.4705721155115,5328.021661902895,18,NA/non-estimable fixed effects; NA fixed-effect covariance entries,cons_x:hetero_x,1,31,NA,TRCY,primary_full_data_auto_density,fixed_structure
saturated_diagnostic,NA,NA,FALSE,725,NA,NA,NA,45,non-positive-definite Hessian; NA/non-estimable fixed effects; NA fixed-effect covariance entries; non-finite logLik; non-finite AIC,cons_x:hetero_x,1,1849,NA,TRCY,primary_full_data_auto_density,fixed_structure
site_cover_fac_by_density,NA,NA,TRUE,662,-2263.2392279922396,4562.478455984479,4643.393235991345,18,NA,NA,0,0,0,TROR,primary_full_data_auto_density,fixed_structure
fac_by_density,NA,NA,TRUE,662,-2267.8991384127708,4563.7982768255415,4626.73199460866,14,NA,NA,0,0,1.31982084106221,TROR,primary_full_data_auto_density,fixed_structure
broad_facilitation_context,NA,NA,TRUE,662,-2260.275826181091,4566.551652362182,4669.942760148733,23,NA,NA,0,0,4.073196377702516,TROR,primary_full_data_auto_density,fixed_structure
site_cover,NA,NA,TRUE,662,-2269.38143934277,4570.76287868554,4642.687127580532,16,NA,NA,0,0,8.284422701060976,TROR,primary_full_data_auto_density,fixed_structure
additive,NA,NA,TRUE,662,-2274.068702391975,4572.13740478395,4626.080591455194,12,NA,NA,0,0,9.658948799470636,TROR,primary_full_data_auto_density,fixed_structure
fac_by_cover,NA,NA,TRUE,662,-2273.319733639983,4572.639467279966,4631.077919507147,13,NA,NA,0,0,10.161011295486787,TROR,primary_full_data_auto_density,fixed_structure
quadratic_additive,NA,NA,TRUE,662,-2267.3915541875126,4572.783108375025,4658.193153937828,19,NA,NA,0,0,10.304652390545925,TROR,primary_full_data_auto_density,fixed_structure
cover_density,NA,NA,TRUE,662,-2267.5176965756755,4573.035393151351,4658.445438714154,19,NA,NA,0,0,10.556937166871649,TROR,primary_full_data_auto_density,fixed_structure
site_cover_fac_context,NA,NA,TRUE,662,-2266.5200735618832,4575.0401471237665,4669.440723798443,21,NA,NA,0,0,12.561691139287177,TROR,primary_full_data_auto_density,fixed_structure
fac_by_site,NA,NA,TRUE,662,-2271.8039282443488,4575.6078564886975,4647.53210538369,16,NA,NA,0,0,13.12940050421821,TROR,primary_full_data_auto_density,fixed_structure
fac_by_site_cover,NA,NA,TRUE,662,-2271.141520985506,4576.283041971012,4652.702556421941,17,NA,NA,0,0,13.804585986532402,TROR,primary_full_data_auto_density,fixed_structure
site_density,NA,NA,TRUE,662,-2261.110206305245,4578.22041261049,4704.087848176726,28,NA,NA,0,0,15.741956626010506,TROR,primary_full_data_auto_density,fixed_structure
density_pairwise_diagnostic,NA,NA,FALSE,662,-2263.2392279922396,4562.478455984479,4643.393235991345,18,NA/non-estimable fixed effects; NA fixed-effect covariance entries,cons_x:hetero_x,1,31,NA,TROR,primary_full_data_auto_density,fixed_structure
