"Site","focsp","g_source","g_mean_final"
"BEN","TRCY","direct",0.0263157894736842
"GH","TRCY","weak",0.136194660358229
"NAM","TRCY","weak",0.136194660358229
"PJ","TRCY","direct",0.142653859836357
"CS","TRCY","weak",0.136194660358229
"BEN","TROR","direct",0.0986842105263158
"GH","TROR","weak",0.160158835208471
"NAM","TROR","weak",0.160158835208471
"PJ","TROR","direct",0.163883089770355
"CS","TROR","weak",0.160158835208471
