"evidence_site","sp_code","germ_success","germ_trials","n_rows_used","germ_fail","g_alpha","g_beta","g_mean"
"BEN","TRCY",3,150,5,147,4,148,0.0263157894736842
"BEN","TROR",14,150,5,136,15,137,0.0986842105263158
"PJ","TRCY",400,2809,146,2409,401,2410,0.142653859836357
"PJ","TROR",470,2872,150,2402,471,2403,0.163883089770355
