"sp_code","pooled_success","pooled_trials","pooled_mean","g_alpha_weak","g_beta_weak"
"TRCY",403,2959,0.136194660358229,0.544778641432917,3.45522135856708
"TROR",484,3022,0.160158835208471,0.640635340833885,3.35936465916612
