"model","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"m1_lambda_only",0,0,-2061.52081575713,28.2846038026319,28.0633270531017,2.38593546058353,4123.04163151426,56.5692076052637
"m4_fac_on_alphaij",-1.46726008008227,1.33161315198439,-2062.98807583722,28.3244664421827,28.3986802258259,2.42358171449638,4125.97615167443,56.6489328843655
"m5_fac_on_alphaii_alphaij",-2.73559675235047,1.55206295458354,-2064.25641250949,28.3639535073017,28.126555058784,2.47713855535915,4128.51282501897,56.7279070146034
