"model","stacking_weight"
"base",0.0332168823981666
"cov",0.0388144966727408
"site",0.0456587040704807
"site_cov",0.817794288294605
"covfac",0.0644578331930958
"sitefac",5.66668823530589e-05
"bothfac",1.12848855760017e-06
