"Estimate","Est.Error","Q2.5","Q97.5","term"
1.54490016439981,0.763396952865364,-0.220977366527974,2.52417272804939,"focspTRCY"
1.61175904930409,0.763915433645492,-0.136561808681089,2.61381414080319,"focspTROR"
-0.33082311080155,0.146895024300659,-0.619198329246567,-0.0459638206765982,"focspTRCY:SiteGH"
-0.233735164556561,0.149006012917506,-0.525721686777385,0.0565478612419186,"focspTROR:SiteGH"
0.0442490077447776,0.146731959623362,-0.248027660877248,0.33115325876477,"focspTRCY:SiteNam"
-0.256716659569627,0.148445482746881,-0.543727767226434,0.0385435906125253,"focspTROR:SiteNam"
0.35388778544362,0.136421298472689,0.0863685786864542,0.617889513395287,"focspTRCY:SitePJ"
-0.0263960924667279,0.140308839983805,-0.308276238096685,0.240821829500718,"focspTROR:SitePJ"
-1.435581271716,0.207358997925729,-1.8366623972095,-1.02831026784885,"focspTRCY:SiteCS"
-1.39676302868511,0.227784195655067,-1.83428779951469,-0.943929889498265,"focspTROR:SiteCS"
0.804991039122652,0.0905408715074666,0.624832918152594,0.981900486361869,"focspTRCY:CovSun"
0.615947652128488,0.093329988141784,0.434756699836561,0.79996534725904,"focspTROR:CovSun"
0.0977712876786259,0.050600862847674,0.00223827113211169,0.201583122901822,"focspTRCY:fac_sc"
0.108433280300852,0.0549691071316993,0.00696806595383643,0.221500473385791,"focspTROR:fac_sc"
-0.0132320626997497,0.00423554311930611,-0.0213717260760514,-0.00481381705950081,"focspTRCY:intra_sc"
-0.0181856815316437,0.00750442735653039,-0.0327085004963261,-0.00296651499503451,"focspTROR:intra_sc"
-0.0268062298280169,0.00629282743818752,-0.0386673653647629,-0.0141327199150911,"focspTRCY:inter_sc"
-0.0108773376366986,0.00320871256279205,-0.017109366402803,-0.00452097791964637,"focspTROR:inter_sc"
0.133714269208335,0.120597900986296,-0.0932529200720901,0.382473470935619,"focspTRCY:SiteGH:fac_sc"
-0.0182628210737751,0.0889342780115659,-0.187523941840592,0.162518832319041,"focspTROR:SiteGH:fac_sc"
0.0561689863401854,0.0799589305592139,-0.0967493037207723,0.216800395789269,"focspTRCY:SiteNam:fac_sc"
-0.10057371242285,0.0851457132578197,-0.259524938507852,0.0770872090372106,"focspTROR:SiteNam:fac_sc"
0.0609015198036764,0.108025969404608,-0.13287727306771,0.288610190285384,"focspTRCY:SitePJ:fac_sc"
-0.0939552927376623,0.16804790058003,-0.390228316265136,0.271600412050249,"focspTROR:SitePJ:fac_sc"
-0.468003957401695,0.451624984556262,-1.30257749244637,0.480576013447617,"focspTRCY:SiteCS:fac_sc"
0.497444995984119,0.535929445768307,-0.482503893235715,1.604419335375,"focspTROR:SiteCS:fac_sc"
