"Estimate","Est.Error","Q2.5","Q97.5","term"
1.4776400982182,0.768447977935315,-0.238050844015989,2.47631946271197,"focspTRCY"
1.61682673712092,0.768956853899868,-0.108338332365631,2.61692086266525,"focspTROR"
-0.261589418512608,0.130662521351469,-0.522495256297829,-0.00665474698140836,"focspTRCY:SiteGH"
-0.274053230453464,0.133488702349827,-0.538548840373977,-0.0171849906279068,"focspTROR:SiteGH"
0.0965328024019462,0.126846364549288,-0.158501256571872,0.343457365300607,"focspTRCY:SiteNam"
-0.332222636024668,0.136126821522503,-0.594542720636098,-0.0636635693239228,"focspTROR:SiteNam"
0.392872027565356,0.123748057660645,0.147514189003429,0.632234920675851,"focspTRCY:SitePJ"
-0.0752144744353705,0.133107432716425,-0.329297751432056,0.189384281823617,"focspTROR:SitePJ"
-1.4488849841909,0.194356311864778,-1.81942234730586,-1.06918194096033,"focspTRCY:SiteCS"
-1.39602270769678,0.213939910259866,-1.81257091251008,-0.962412465414123,"focspTROR:SiteCS"
0.806620297515277,0.0872085945254594,0.633586006156341,0.97787527089448,"focspTRCY:CovSun"
0.633908999360733,0.0915977674037598,0.455980650696003,0.815649313677798,"focspTROR:CovSun"
0.128532520621664,0.035455119631818,0.0618012470772374,0.201251019329104,"focspTRCY:fac_sc"
0.0692940571175712,0.037546900115959,-0.000795872258908372,0.145214317775695,"focspTROR:fac_sc"
-0.0131814191212794,0.00425917670332384,-0.0213616683777338,-0.00472388734915528,"focspTRCY:intra_sc"
-0.0178934699572731,0.00759381794612992,-0.032414540822773,-0.00280101354443365,"focspTROR:intra_sc"
-0.0267594293360907,0.00620888795009407,-0.0387345966356809,-0.0143872715577918,"focspTRCY:inter_sc"
-0.0110561472904542,0.00323657011650693,-0.0173736894881372,-0.00473236674852862,"focspTROR:inter_sc"
