"Estimate","Est.Error","Q2.5","Q97.5","term"
1.48647135416496,0.784967630602371,-0.310324232344625,2.51956975261125,"focspTRCY"
1.5697013909207,0.782959814850982,-0.197441372728189,2.59469168597554,"focspTROR"
-0.334707394406448,0.145045026378523,-0.619986764397981,-0.0539781562105284,"focspTRCY:SiteGH"
-0.227714972580572,0.147376912044629,-0.51755410097659,0.0615183257890375,"focspTROR:SiteGH"
0.0164624369876491,0.145265078931762,-0.270087187636456,0.294353369679431,"focspTRCY:SiteNam"
-0.254278721997707,0.147554213947719,-0.536304872906449,0.0371424292059228,"focspTROR:SiteNam"
0.352547833378354,0.13559226958863,0.0880294496734463,0.613167176702129,"focspTRCY:SitePJ"
-0.0191186106513113,0.139290787441186,-0.292083589162087,0.255199989545229,"focspTROR:SitePJ"
-1.46160838322744,0.204311370954504,-1.86026764227188,-1.06003592059864,"focspTRCY:SiteCS"
-1.39723218089267,0.230713803438767,-1.84422509165819,-0.930061761444663,"focspTROR:SiteCS"
0.857792930536429,0.0942852696115456,0.671926833622981,1.04251408011115,"focspTRCY:CovSun"
0.620259592617313,0.0991553657506749,0.428441581865978,0.81742823482134,"focspTROR:CovSun"
0.226095689666204,0.095545562996776,0.0469499335006538,0.422208191100741,"focspTRCY:fac_sc"
0.136561885501452,0.117639296996761,-0.0815107964482202,0.378657341009445,"focspTROR:fac_sc"
-0.0128219506721625,0.00423435940830961,-0.0209642812739444,-0.00434334224031041,"focspTRCY:intra_sc"
-0.0183391558630567,0.00750546703914,-0.0329517816691694,-0.00355300778494089,"focspTROR:intra_sc"
-0.0268832235623671,0.00623849520126181,-0.0389003687475889,-0.0145928937404469,"focspTRCY:inter_sc"
-0.0110248019745833,0.00322584691752529,-0.0171898801809814,-0.00465458877687963,"focspTROR:inter_sc"
0.146516009016353,0.122170276950497,-0.0809686942798255,0.400466657384269,"focspTRCY:SiteGH:fac_sc"
-0.0176283314914697,0.0901769377030137,-0.187814621499221,0.166831480614614,"focspTROR:SiteGH:fac_sc"
0.0675859679349058,0.0790701995733841,-0.0870621399290903,0.221186559249,"focspTRCY:SiteNam:fac_sc"
-0.101499390828261,0.0837419719906465,-0.25642938933891,0.0712440102219894,"focspTROR:SiteNam:fac_sc"
-0.0577218529803401,0.131320832078108,-0.310458955838397,0.208212878410715,"focspTRCY:SitePJ:fac_sc"
-0.119453385751128,0.192909304809378,-0.477016363694476,0.278657100579603,"focspTROR:SitePJ:fac_sc"
-0.441774568776959,0.439278404424866,-1.26802699359132,0.464138210650795,"focspTRCY:SiteCS:fac_sc"
0.502022744622529,0.547613898331111,-0.517975266064634,1.65637146112113,"focspTROR:SiteCS:fac_sc"
-0.158767216292987,0.0961595622796304,-0.354802290459103,0.021286487636932,"focspTRCY:CovSun:fac_sc"
-0.028872560719378,0.118092900024204,-0.273939445010515,0.193836619935364,"focspTROR:CovSun:fac_sc"
