"model","stacking_weight"
"base",1.63828751401612e-07
"cov",0.102627949624024
"site",0.0871754916777278
"site_cov",0.806939782204392
"covfac",0.00236496701961844
"sitefac",0.00071683946164186
"bothfac",0.0001748061838448
