"Estimate","Est.Error","Q2.5","Q97.5","term"
1.22510521028111,0.65656025430112,-0.262096889381363,2.19176203296407,"focspTRCY"
1.3089190827736,0.656854633784423,-0.165064688994577,2.28646447213156,"focspTROR"
0.725299094730523,0.111573240050483,0.503293285616937,0.941887651086195,"focspTRCY:SitePJ"
0.226763746264504,0.11589254129747,0.00320200459401987,0.456605248733309,"focspTROR:SitePJ"
0.736707603191544,0.112384138812895,0.513940423992655,0.954904114240668,"focspTRCY:CovSUN"
0.711448259308707,0.114545304342748,0.484125978176179,0.936522359536887,"focspTROR:CovSUN"
0.195635461535296,0.0988336890563294,0.0111548494566639,0.394059417970275,"focspTRCY:fac_sc"
0.0714042650903702,0.0618050686181996,-0.040355714084848,0.201890852418834,"focspTROR:fac_sc"
-0.0140438910793328,0.00459613702863025,-0.0228260767015452,-0.00479929799317357,"focspTRCY:intra_sc"
-0.0114369735024737,0.00896332491756678,-0.0288918987830979,0.00671202728054808,"focspTROR:intra_sc"
-0.0269458558086244,0.00721148016673383,-0.0410995667776248,-0.0127899571659874,"focspTRCY:inter_sc"
-0.00980843528895066,0.003990241579941,-0.0174900105784726,-0.00201745273011403,"focspTROR:inter_sc"
-0.0900329010920857,0.128099699751409,-0.336247111350068,0.163120008398839,"focspTRCY:SitePJ:fac_sc"
-0.122540369686471,0.151681813654834,-0.397170993888763,0.193116878870346,"focspTROR:SitePJ:fac_sc"
