"Estimate","Est.Error","Q2.5","Q97.5","term"
1.24460181032513,0.653746768122281,-0.262136516852984,2.18917433177825,"focspTRCY"
1.32789406280084,0.655097976581077,-0.170391470477151,2.28785736351165,"focspTROR"
0.697284615891613,0.106699822657027,0.484354739293617,0.907448596580863,"focspTRCY:SitePJ"
0.210279748639173,0.115363161757978,-0.01616721650779,0.436412481684473,"focspTROR:SitePJ"
0.755782340878157,0.112117292399046,0.53942807822387,0.97154108088897,"focspTRCY:CovSUN"
0.723907778576989,0.11502088385458,0.497869543139703,0.950941270226724,"focspTROR:CovSUN"
0.139606740865949,0.0632346900282076,0.025097358098054,0.27088397469923,"focspTRCY:fac_sc"
0.0488702083446581,0.0548535507521687,-0.0526991616510675,0.162660874195919,"focspTROR:fac_sc"
-0.013681068523771,0.00476634201677585,-0.0228472561384825,-0.00421922273966824,"focspTRCY:intra_sc"
-0.0115277351888653,0.00892790426075087,-0.0282230981256874,0.00641561992393688,"focspTROR:intra_sc"
-0.0267905909722546,0.00746847005452508,-0.0411659084105775,-0.0120540932117837,"focspTRCY:inter_sc"
-0.0102588033915733,0.00387459038009885,-0.017808130409789,-0.00271455427410119,"focspTROR:inter_sc"
