"Estimate","Est.Error","Q2.5","Q97.5","term"
1.39650881204358,0.7547797957411,-0.215089728376466,2.55217492817237,"focspTRCY"
1.14631459872095,0.756019201829212,-0.448458778004247,2.31556763875262,"focspTROR"
0.711895708638381,0.116038219713321,0.486682890399235,0.942891829352804,"focspTRCY:CovSUN"
0.679465944046923,0.116785251510468,0.449551335063334,0.911508032060478,"focspTROR:CovSUN"
0.10499496180247,0.0607576183441137,-0.00831512977183789,0.231930186720718,"focspTRCY:fac_sc"
0.0345809463071779,0.0549916777892168,-0.0664187561845208,0.148594799465841,"focspTROR:fac_sc"
-0.0103272049339627,0.00486751617378019,-0.0195382506761251,-0.00054596408853774,"focspTRCY:intra_sc"
-0.0111006650655154,0.00899485078773871,-0.0280914824675394,0.00708895911051425,"focspTROR:intra_sc"
-0.0272328975474808,0.00748360389464868,-0.0413133903021677,-0.012378137234798,"focspTRCY:inter_sc"
-0.00915615889821331,0.0039032493981195,-0.016607114305497,-0.00126551511814327,"focspTROR:inter_sc"
