Site,Cov,fac_asym_med,fac_asym_lwr,fac_asym_upr,p_asym_gt0,dlog_TRCY_med,dlog_TROR_med,p_coexist,p_TRCY_wins,p_TROR_wins,p_priority,dominant_outcome,dominant_probability,p_valid_kappa,model_family,point_label,win_balance_TRCY_minus_TROR
BEN,Shade,0.5010465344068809,-0.8742030893614686,1.8928422493902848,0.761625,1.0963441241778686,0.5885611732930807,0.160375,0.32725,0.3155,0.196875,TRCY wins,0.32725,1,Ricker,BEN-Shade,0.011749999999999983
BEN,Sun,0.4266004632942938,-0.5693022639992443,1.4197184025291336,0.805125,0.37429495400094603,-0.0495945559614096,0.16775,0.378375,0.236875,0.217,TRCY wins,0.378375,1,Ricker,BEN-Sun,0.14150000000000001
GH,Shade,0.378203758805032,-0.5955670506049703,1.3052707726697848,0.78325,0.9919265057609785,0.6143648285098414,0.18925,0.18325,0.399375,0.228125,TROR wins,0.399375,1,Ricker,GH-Shade,-0.21612499999999998
GH,Sun,0.5869232013603041,-0.9254495205856739,2.1552005773437237,0.77475,1.2316362473083886,0.6527937779188433,0.1825,0.263,0.3175,0.237,TROR wins,0.3175,1,Ricker,GH-Sun,-0.05449999999999999
NAM,Shade,0.6491092054600324,-0.3640230153078554,1.6366825138201908,0.898,0.9946060620999916,0.35440941627333167,0.18525,0.34275,0.231625,0.240375,TRCY wins,0.34275,1,Ricker,NAM-Shade,0.111125
NAM,Sun,1.1214621028329983,-0.10463399586402065,2.481048624448271,0.963625,0.9897458832355088,-0.12775904517540637,0.144875,0.5335,0.11775,0.203875,TRCY wins,0.5335,1,Ricker,NAM-Sun,0.41574999999999995
PJ,Shade,1.0188604836779052,-2.1415968014143347,4.896874738435226,0.732875,0.8600615486657368,-0.14346116536750586,0.106125,0.406,0.348375,0.1395,TRCY wins,0.406,1,Ricker,PJ-Shade,0.05762500000000004
PJ,Sun,0.06831673121064719,-0.38233005510727847,0.5629440724414471,0.61375,-0.09752685634078384,-0.1586687874527164,0.199,0.292625,0.2565,0.251875,TRCY wins,0.292625,1,Ricker,PJ-Sun,0.03612500000000002
CS,Shade,-0.5111935455552893,-1.997152685544608,0.9637244354375544,0.248875,0.10122185135044459,0.599378024681674,0.102625,0.1715,0.589625,0.13625,TROR wins,0.589625,1,Ricker,CS-Shade,-0.41812499999999997
CS,Sun,-1.109952169000517,-4.014156754421703,1.7241766932164466,0.22575,-0.17126991085498544,0.9286848296270098,0.085625,0.16375,0.642,0.108625,TROR wins,0.642,1,Ricker,CS-Sun,-0.47825
BEN,Shade,0.4430073876548507,-0.9690414753586196,1.8608334602047896,0.734625,1.1525825679521011,0.7067701327752733,0.16775,0.3855,0.303375,0.143375,TRCY wins,0.3855,1,BH,BEN-Shade,0.082125
BEN,Sun,0.3970142244913859,-0.5937938547293886,1.4109411771172056,0.787125,0.437653232128449,0.03234945985756976,0.173125,0.50825,0.165875,0.15275,TRCY wins,0.50825,1,BH,BEN-Sun,0.342375
GH,Shade,0.3723740523101262,-0.6179027382848691,1.3564019440753978,0.779125,1.131002191512613,0.7646120079860044,0.20025,0.29975,0.32925,0.17075,TROR wins,0.32925,1,BH,GH-Shade,-0.02949999999999997
GH,Sun,0.6571026605392266,-0.9508419174266582,2.2259942610380947,0.785375,1.5490027870544065,0.9053610880698855,0.1355,0.56325,0.177125,0.124125,TRCY wins,0.56325,1,BH,GH-Sun,0.38612500000000005
NAM,Shade,0.5496496380420558,-0.46984894430485846,1.5779951239646284,0.861625,1.0583773280706517,0.5080551554664703,0.159,0.552625,0.147,0.141375,TRCY wins,0.552625,1,BH,NAM-Shade,0.405625
NAM,Sun,0.9801474470377746,-0.2302375265466651,2.3600323941379115,0.94425,1.1183039611736314,0.1368593508930519,0.065,0.82875,0.034625,0.071625,TRCY wins,0.82875,1,BH,NAM-Sun,0.794125
PJ,Shade,0.9974700466510602,-2.285053535113373,5.298686674682975,0.711,1.0737076100610103,0.09632812315537631,0.070125,0.50925,0.357375,0.06325,TRCY wins,0.50925,1,BH,PJ-Shade,0.15187499999999998
PJ,Sun,0.07300890001649663,-0.40285167702476815,0.6265235356127885,0.616875,-0.07453826648409767,-0.14634256932989342,0.167,0.577375,0.09525,0.160375,TRCY wins,0.577375,1,BH,PJ-Sun,0.48212499999999997
CS,Shade,-0.5985856267993932,-2.9621216457379123,1.8258716128754373,0.288875,-0.600751220730947,0.001469956513905496,0.063625,0.15925,0.724125,0.053,TROR wins,0.724125,1,BH,CS-Shade,-0.564875
CS,Sun,-1.295298680127513,-5.931159664016973,3.580130113930229,0.2695,-1.580694203754367,-0.2836821009810718,0.062375,0.150625,0.7365,0.0505,TROR wins,0.7365,1,BH,CS-Sun,-0.585875
