Site,Cov,fac_present,outcome,Ricker,BH,delta_Ricker_minus_BH,abs_delta,change_gt_5pct,change_gt_10pct
NAM,Sun,No,Coexistence,0.20475,0.230875,-0.02612500000000001,0.02612500000000001,FALSE,FALSE
NAM,Sun,No,Priority effect,0.2465,0.199625,0.046875,0.046875,FALSE,FALSE
NAM,Sun,Yes,TRCY wins,0.5335,0.82875,-0.29525,0.29525,TRUE,TRUE
NAM,Sun,Yes,TROR wins,0.11775,0.034625,0.08312499999999999,0.08312499999999999,TRUE,FALSE
NAM,Sun,Yes,Coexistence,0.144875,0.065,0.079875,0.079875,TRUE,FALSE
NAM,Sun,Yes,Priority effect,0.203875,0.071625,0.13225,0.13225,TRUE,TRUE
PJ,Sun,No,TRCY wins,0.262625,0.5255,-0.26287499999999997,0.26287499999999997,TRUE,TRUE
PJ,Sun,No,TROR wins,0.28325,0.105375,0.177875,0.177875,TRUE,TRUE
PJ,Sun,No,Coexistence,0.199875,0.186375,0.013499999999999984,0.013499999999999984,FALSE,FALSE
PJ,Sun,No,Priority effect,0.25425,0.18275,0.07149999999999998,0.07149999999999998,TRUE,FALSE
PJ,Sun,Yes,TRCY wins,0.292625,0.577375,-0.28474999999999995,0.28474999999999995,TRUE,TRUE
PJ,Sun,Yes,TROR wins,0.2565,0.09525,0.16125,0.16125,TRUE,TRUE
PJ,Sun,Yes,Coexistence,0.199,0.167,0.032,0.032,FALSE,FALSE
PJ,Sun,Yes,Priority effect,0.251875,0.160375,0.09150000000000003,0.09150000000000003,TRUE,FALSE
CS,Sun,No,TRCY wins,0.416,0.529875,-0.113875,0.113875,TRUE,TRUE
CS,Sun,No,TROR wins,0.20575,0.21625,-0.01050000000000001,0.01050000000000001,FALSE,FALSE
CS,Sun,No,Coexistence,0.16075,0.1325,0.028249999999999997,0.028249999999999997,FALSE,FALSE
CS,Sun,No,Priority effect,0.2175,0.121375,0.096125,0.096125,TRUE,FALSE
CS,Sun,Yes,TRCY wins,0.16375,0.150625,0.013124999999999998,0.013124999999999998,FALSE,FALSE
CS,Sun,Yes,TROR wins,0.642,0.7365,-0.09450000000000003,0.09450000000000003,TRUE,FALSE
CS,Sun,Yes,Coexistence,0.085625,0.062375,0.023250000000000007,0.023250000000000007,FALSE,FALSE
CS,Sun,Yes,Priority effect,0.108625,0.0505,0.058124999999999996,0.058124999999999996,TRUE,FALSE
