Site,Cov,fac_sc,niche_med,niche_lwr,niche_upr,fit_med,fit_lwr,fit_upr,p_coexist,p_TRCY_wins,p_TROR_wins,p_priority,mean_g_TROR,mean_g_TRCY,p_valid_kappa,n_obs,p_sum,p_unclassified,max_support,most_supported_outcome,outcome_90
GH,Sun,0,-0.0424663058636684,-1.2040670367176751,0.47413778455146394,0.8115457636069707,0.34951734656433336,1.8266011979536994,0.18475,0.142125,0.4475,0.225625,1,1,1,135,1,0,0.4475,TROR_wins,ambiguous
GH,Sun,1,-0.0424663058636684,-1.2040670367176751,0.47413778455146394,0.8449386423188103,0.3642984615231661,1.886267812362713,0.19575,0.161625,0.407875,0.23475,1,1,1,25,1,0,0.407875,TROR_wins,ambiguous
GH,Sun,2,-0.0424663058636684,-1.2040670367176751,0.47413778455146394,0.872630680058588,0.3746179570908634,1.9427381798357082,0.1965,0.183875,0.379625,0.24,1,1,1,8,1,0,0.379625,TROR_wins,ambiguous
GH,Sun,3,-0.0424663058636684,-1.2040670367176751,0.47413778455146394,0.8965671962212806,0.37642047266949624,2.0510911438874793,0.197875,0.20575,0.356,0.240375,1,1,1,7,1,0,0.356,TROR_wins,ambiguous
GH,Sun,4,-0.0424663058636684,-1.2040670367176751,0.47413778455146394,0.9204941778342756,0.37528070311941564,2.13814109336962,0.19525,0.226875,0.339,0.238875,1,1,1,4,1,0,0.339,TROR_wins,ambiguous
GH,Sun,5,-0.0424663058636684,-1.2040670367176751,0.47413778455146394,0.942873541613283,0.3779707548410717,2.242841113007563,0.18925,0.2455,0.325625,0.239625,1,1,1,3,1,0,0.325625,TROR_wins,ambiguous
GH,Sun,6,-0.0424663058636684,-1.2040670367176751,0.47413778455146394,0.9630682401660525,0.3765188411052711,2.354988229015537,0.1825,0.263,0.3175,0.237,1,1,1,1,1,0,0.3175,TROR_wins,ambiguous
GH,Sun,9,-0.0424663058636684,-1.2040670367176751,0.47413778455146394,1.0174540252684738,0.3625774156790459,2.741921448919177,0.166625,0.314,0.2935,0.225875,1,1,1,1,1,0,0.314,TRCY_wins,ambiguous
NAM,Shade,0,-0.0424663058636684,-1.2040670367176751,0.47413778455146394,0.8260167196548687,0.3614207637538704,1.805891076283073,0.192125,0.14175,0.431875,0.23425,1,1,1,100,1,0,0.431875,TROR_wins,ambiguous
NAM,Shade,1,-0.0424663058636684,-1.2040670367176751,0.47413778455146394,0.9194487624443213,0.3990408994114122,2.020722350138015,0.2065,0.209625,0.334625,0.24925,1,1,1,19,1,0,0.334625,TROR_wins,ambiguous
NAM,Shade,2,-0.0424663058636684,-1.2040670367176751,0.47413778455146394,1.0032506743507401,0.42664441895466954,2.315049571118634,0.19775,0.284125,0.272625,0.2455,1,1,1,4,1,0,0.284125,TRCY_wins,ambiguous
NAM,Shade,3,-0.0424663058636684,-1.2040670367176751,0.47413778455146394,1.0789276459293138,0.4357738227875201,2.646980050678978,0.18525,0.34275,0.231625,0.240375,1,1,1,6,1,0,0.34275,TRCY_wins,ambiguous
NAM,Sun,0,-0.0424663058636684,-1.2040670367176751,0.47413778455146394,0.90942498023261,0.3878015916214284,2.018845358108807,0.20475,0.203875,0.344875,0.2465,1,1,1,128,1,0,0.344875,TROR_wins,ambiguous
NAM,Sun,1,-0.0424663058636684,-1.2040670367176751,0.47413778455146394,0.9716774637347521,0.4133283864287986,2.154819598368901,0.206875,0.246125,0.29225,0.25475,1,1,1,24,1,0,0.29225,TROR_wins,ambiguous
NAM,Sun,2,-0.0424663058636684,-1.2040670367176751,0.47413778455146394,1.0331932538331097,0.44016404102132173,2.319879646490593,0.19925,0.29775,0.24825,0.25475,1,1,1,11,1,0,0.29775,TRCY_wins,ambiguous
NAM,Sun,3,-0.0424663058636684,-1.2040670367176751,0.47413778455146394,1.0951876195945964,0.4606901992309298,2.527233859496772,0.192,0.34675,0.211125,0.250125,1,1,1,4,1,0,0.34675,TRCY_wins,ambiguous
NAM,Sun,4,-0.0424663058636684,-1.2040670367176751,0.47413778455146394,1.1571092503298392,0.48194039679939704,2.7186831013928177,0.182375,0.395625,0.177625,0.244375,1,1,1,8,1,0,0.395625,TRCY_wins,ambiguous
NAM,Sun,5,-0.0424663058636684,-1.2040670367176751,0.47413778455146394,1.2205776054430633,0.5033257265262516,2.9953273604619004,0.167875,0.450375,0.151125,0.230625,1,1,1,4,1,0,0.450375,TRCY_wins,ambiguous
NAM,Sun,6,-0.0424663058636684,-1.2040670367176751,0.47413778455146394,1.282635971090285,0.5232662522412479,3.341748178136075,0.158,0.492875,0.131625,0.2175,1,1,1,2,1,0,0.492875,TRCY_wins,ambiguous
NAM,Sun,7,-0.0424663058636684,-1.2040670367176751,0.47413778455146394,1.3499262490299828,0.5285179103816328,3.730708504188729,0.144875,0.5335,0.11775,0.203875,1,1,1,1,1,0,0.5335,TRCY_wins,ambiguous
NAM,Sun,17,-0.0424663058636684,-1.2040670367176751,0.47413778455146394,1.9230946835214828,-8.231460866760024,14.895897896449712,0.07325,0.6985,0.109875,0.118375,1,1,1,1,1,0,0.6985,TRCY_wins,ambiguous
PJ,Shade,0,-0.0424663058636684,-1.2040670367176751,0.47413778455146394,0.9313213240067406,0.4126442155183692,2.016165875738994,0.207875,0.21825,0.320125,0.25375,1,1,1,184,1,0,0.320125,TROR_wins,ambiguous
PJ,Shade,1,-0.0424663058636684,-1.2040670367176751,0.47413778455146394,0.9852922862917141,0.43095452988071087,2.194408564013957,0.205125,0.263,0.27475,0.257125,1,1,1,11,1,0,0.27475,TROR_wins,ambiguous
PJ,Shade,2,-0.0424663058636684,-1.2040670367176751,0.47413778455146394,1.0438618305987355,0.4353059950525247,2.6349011896928163,0.19075,0.3215,0.244875,0.242875,1,1,1,3,1,0,0.3215,TRCY_wins,ambiguous
PJ,Shade,5,-0.0424663058636684,-1.2040670367176751,0.47413778455146394,1.1480986532341992,-3.389419998276772,6.864687910005774,0.144375,0.4205,0.248,0.187125,1,1,1,1,1,0,0.4205,TRCY_wins,ambiguous
PJ,Shade,6,-0.0424663058636684,-1.2040670367176751,0.47413778455146394,1.1485702083512486,-4.702513410582019,9.108030661855057,0.131375,0.4255,0.267625,0.1755,1,1,1,1,1,0,0.4255,TRCY_wins,ambiguous
PJ,Shade,8,-0.0424663058636684,-1.2040670367176751,0.47413778455146394,1.1089752927501193,-9.069481866026036,12.244735379503792,0.114,0.4155,0.321125,0.149375,1,1,1,1,1,0,0.4155,TRCY_wins,ambiguous
PJ,Shade,10,-0.0424663058636684,-1.2040670367176751,0.47413778455146394,1.031005743228778,-12.620911473533655,12.885982764027712,0.0995,0.39225,0.377625,0.130625,1,1,1,1,1,0,0.39225,TRCY_wins,ambiguous
PJ,Sun,0,-0.0424663058636684,-1.2040670367176751,0.47413778455146394,0.9859079210907522,0.426652989132659,2.1866506931652716,0.199875,0.262625,0.28325,0.25425,1,1,1,180,1,0,0.28325,TROR_wins,ambiguous
PJ,Sun,1,-0.0424663058636684,-1.2040670367176751,0.47413778455146394,1.0213023249964284,0.43582489853800616,2.309176472325074,0.199,0.292625,0.2565,0.251875,1,1,1,10,1,0,0.292625,TRCY_wins,ambiguous
