"Site","Cov","fac_sc","niche_med","niche_lwr","niche_upr","fit_med","fit_lwr","fit_upr","p_coexist","p_TRCY_wins","p_TROR_wins","p_priority","mean_g_TROR","mean_g_TRCY","p_valid_kappa","n_obs","p_sum","p_unclassified","max_support","most_supported_outcome","outcome_90"
"GH","Sun",0,-0.0424663058636684,-1.20406703671768,0.474137784551464,0.811545763606971,0.349517346564333,1.8266011979537,0.18475,0.142125,0.4475,0.225625,1,1,1,135,1,0,0.4475,"TROR_wins","ambiguous"
"GH","Sun",1,-0.0424663058636684,-1.20406703671768,0.474137784551464,0.84493864231881,0.364298461523166,1.88626781236271,0.19575,0.161625,0.407875,0.23475,1,1,1,25,1,0,0.407875,"TROR_wins","ambiguous"
"GH","Sun",2,-0.0424663058636684,-1.20406703671768,0.474137784551464,0.872630680058588,0.374617957090863,1.94273817983571,0.1965,0.183875,0.379625,0.24,1,1,1,8,1,0,0.379625,"TROR_wins","ambiguous"
"GH","Sun",3,-0.0424663058636684,-1.20406703671768,0.474137784551464,0.896567196221281,0.376420472669496,2.05109114388748,0.197875,0.20575,0.356,0.240375,1,1,1,7,1,0,0.356,"TROR_wins","ambiguous"
"GH","Sun",4,-0.0424663058636684,-1.20406703671768,0.474137784551464,0.920494177834276,0.375280703119416,2.13814109336962,0.19525,0.226875,0.339,0.238875,1,1,1,4,1,0,0.339,"TROR_wins","ambiguous"
"GH","Sun",5,-0.0424663058636684,-1.20406703671768,0.474137784551464,0.942873541613283,0.377970754841072,2.24284111300756,0.18925,0.2455,0.325625,0.239625,1,1,1,3,1,0,0.325625,"TROR_wins","ambiguous"
"GH","Sun",6,-0.0424663058636684,-1.20406703671768,0.474137784551464,0.963068240166053,0.376518841105271,2.35498822901554,0.1825,0.263,0.3175,0.237,1,1,1,1,1,0,0.3175,"TROR_wins","ambiguous"
"GH","Sun",9,-0.0424663058636684,-1.20406703671768,0.474137784551464,1.01745402526847,0.362577415679046,2.74192144891918,0.166625,0.314,0.2935,0.225875,1,1,1,1,1,0,0.314,"TRCY_wins","ambiguous"
"NAM","Shade",0,-0.0424663058636684,-1.20406703671768,0.474137784551464,0.826016719654869,0.36142076375387,1.80589107628307,0.192125,0.14175,0.431875,0.23425,1,1,1,100,1,0,0.431875,"TROR_wins","ambiguous"
"NAM","Shade",1,-0.0424663058636684,-1.20406703671768,0.474137784551464,0.919448762444321,0.399040899411412,2.02072235013802,0.2065,0.209625,0.334625,0.24925,1,1,1,19,1,0,0.334625,"TROR_wins","ambiguous"
"NAM","Shade",2,-0.0424663058636684,-1.20406703671768,0.474137784551464,1.00325067435074,0.42664441895467,2.31504957111863,0.19775,0.284125,0.272625,0.2455,1,1,1,4,1,0,0.284125,"TRCY_wins","ambiguous"
"NAM","Shade",3,-0.0424663058636684,-1.20406703671768,0.474137784551464,1.07892764592931,0.43577382278752,2.64698005067898,0.18525,0.34275,0.231625,0.240375,1,1,1,6,1,0,0.34275,"TRCY_wins","ambiguous"
"NAM","Sun",0,-0.0424663058636684,-1.20406703671768,0.474137784551464,0.90942498023261,0.387801591621428,2.01884535810881,0.20475,0.203875,0.344875,0.2465,1,1,1,128,1,0,0.344875,"TROR_wins","ambiguous"
"NAM","Sun",1,-0.0424663058636684,-1.20406703671768,0.474137784551464,0.971677463734752,0.413328386428799,2.1548195983689,0.206875,0.246125,0.29225,0.25475,1,1,1,24,1,0,0.29225,"TROR_wins","ambiguous"
"NAM","Sun",2,-0.0424663058636684,-1.20406703671768,0.474137784551464,1.03319325383311,0.440164041021322,2.31987964649059,0.19925,0.29775,0.24825,0.25475,1,1,1,11,1,0,0.29775,"TRCY_wins","ambiguous"
"NAM","Sun",3,-0.0424663058636684,-1.20406703671768,0.474137784551464,1.0951876195946,0.46069019923093,2.52723385949677,0.192,0.34675,0.211125,0.250125,1,1,1,4,1,0,0.34675,"TRCY_wins","ambiguous"
"NAM","Sun",4,-0.0424663058636684,-1.20406703671768,0.474137784551464,1.15710925032984,0.481940396799397,2.71868310139282,0.182375,0.395625,0.177625,0.244375,1,1,1,8,1,0,0.395625,"TRCY_wins","ambiguous"
"NAM","Sun",5,-0.0424663058636684,-1.20406703671768,0.474137784551464,1.22057760544306,0.503325726526252,2.9953273604619,0.167875,0.450375,0.151125,0.230625,1,1,1,4,1,0,0.450375,"TRCY_wins","ambiguous"
"NAM","Sun",6,-0.0424663058636684,-1.20406703671768,0.474137784551464,1.28263597109029,0.523266252241248,3.34174817813608,0.158,0.492875,0.131625,0.2175,1,1,1,2,1,0,0.492875,"TRCY_wins","ambiguous"
"NAM","Sun",7,-0.0424663058636684,-1.20406703671768,0.474137784551464,1.34992624902998,0.528517910381633,3.73070850418873,0.144875,0.5335,0.11775,0.203875,1,1,1,1,1,0,0.5335,"TRCY_wins","ambiguous"
"NAM","Sun",17,-0.0424663058636684,-1.20406703671768,0.474137784551464,1.92309468352148,-8.23146086676002,14.8958978964497,0.07325,0.6985,0.109875,0.118375,1,1,1,1,1,0,0.6985,"TRCY_wins","ambiguous"
"PJ","Shade",0,-0.0424663058636684,-1.20406703671768,0.474137784551464,0.931321324006741,0.412644215518369,2.01616587573899,0.207875,0.21825,0.320125,0.25375,1,1,1,184,1,0,0.320125,"TROR_wins","ambiguous"
"PJ","Shade",1,-0.0424663058636684,-1.20406703671768,0.474137784551464,0.985292286291714,0.430954529880711,2.19440856401396,0.205125,0.263,0.27475,0.257125,1,1,1,11,1,0,0.27475,"TROR_wins","ambiguous"
"PJ","Shade",2,-0.0424663058636684,-1.20406703671768,0.474137784551464,1.04386183059874,0.435305995052525,2.63490118969282,0.19075,0.3215,0.244875,0.242875,1,1,1,3,1,0,0.3215,"TRCY_wins","ambiguous"
"PJ","Shade",5,-0.0424663058636684,-1.20406703671768,0.474137784551464,1.1480986532342,-3.38941999827677,6.86468791000577,0.144375,0.4205,0.248,0.187125,1,1,1,1,1,0,0.4205,"TRCY_wins","ambiguous"
"PJ","Shade",6,-0.0424663058636684,-1.20406703671768,0.474137784551464,1.14857020835125,-4.70251341058202,9.10803066185506,0.131375,0.4255,0.267625,0.1755,1,1,1,1,1,0,0.4255,"TRCY_wins","ambiguous"
"PJ","Shade",8,-0.0424663058636684,-1.20406703671768,0.474137784551464,1.10897529275012,-9.06948186602604,12.2447353795038,0.114,0.4155,0.321125,0.149375,1,1,1,1,1,0,0.4155,"TRCY_wins","ambiguous"
"PJ","Shade",10,-0.0424663058636684,-1.20406703671768,0.474137784551464,1.03100574322878,-12.6209114735337,12.8859827640277,0.0995,0.39225,0.377625,0.130625,1,1,1,1,1,0,0.39225,"TRCY_wins","ambiguous"
"PJ","Sun",0,-0.0424663058636684,-1.20406703671768,0.474137784551464,0.985907921090752,0.426652989132659,2.18665069316527,0.199875,0.262625,0.28325,0.25425,1,1,1,180,1,0,0.28325,"TROR_wins","ambiguous"
"PJ","Sun",1,-0.0424663058636684,-1.20406703671768,0.474137784551464,1.02130232499643,0.435824898538006,2.30917647232507,0.199,0.292625,0.2565,0.251875,1,1,1,10,1,0,0.292625,"TRCY_wins","ambiguous"
