model_family,Site,Cov,n_draws,fac_asym_med,fac_asym_lwr,fac_asym_upr,logfit_med,logfit_lwr,logfit_upr,p_asym_TRCY_gt_TROR,p_logfit_TRCY_gt_TROR,p_same_direction,p_TRCY_wins,p_TROR_wins,p_coexist,p_priority,p_unclassified
BH,BEN,Sun,7980,0.39606007687296296,-0.5942000767217571,1.4103827971317835,0.39349655815561846,-1.068269088619811,1.823869891904104,0.7869674185463659,0.6964912280701754,0.7468671679197995,0.5095238095238095,0.1637844611528822,0.17355889724310777,0.1531328320802005,0
BH,GH,Sun,7996,0.6568885293364054,-0.9509018510664528,2.226008909731136,0.5431217911649622,-1.3330629850653046,2.3672315998996956,0.7852676338169085,0.716983491745873,0.8341670835417709,0.5635317658829415,0.17671335667833918,0.135567783891946,0.12418709354677339,0
BH,NAM,Sun,7949,0.9780744109719954,-0.2311006711036075,2.345647944592554,1.2334942198347867,-0.3781746970781803,3.114297872900563,0.9438923134985533,0.932318530632784,0.9262800352245566,0.8340671782614165,0.02843124921373758,0.0654170335891307,0.07208453893571519,0
BH,PJ,Sun,7975,0.07215042784257664,-0.4029751533857665,0.6241030771662419,0.5066482691899706,-0.7122939361915673,1.7609095653687223,0.6157993730407524,0.7967398119122258,0.6487774294670846,0.5791849529780564,0.09241379310344827,0.16752351097178683,0.16087774294670845,0
BH,CS,Sun,3921,-0.6981037341522063,-3.945127752078996,2.7782048687709957,-0.23753486340637953,-4.161587365762139,3.1436287064914232,0.2871716398877837,0.4157102779903086,0.5266513644478449,0.30731956133639377,0.4623820453965825,0.1272634532007141,0.10303494006630962,0
BH,BEN,Shade,7978,0.44082915373420506,-0.9690617042166321,1.8601307853578786,0.10424526702233057,-1.7123391775272292,2.0311677747052213,0.7341438957132114,0.5470042617197293,0.7364001002757583,0.3865630483830534,0.30145399849586363,0.1682125846076711,0.14377036851341188,0
BH,GH,Shade,7980,0.3721998876827489,-0.6166978639232938,1.3545012881893466,-0.023807301602285915,-1.509226553675084,1.4255883050360998,0.7789473684210526,0.48659147869674185,0.643984962406015,0.3005012531328321,0.3275689223057644,0.20075187969924813,0.1711779448621554,0
BH,NAM,Shade,7952,0.54655761199793,-0.46994018462239534,1.5698327396458838,0.49497316094335675,-1.037910494710699,2.0285003952154503,0.8609154929577465,0.7380533199195171,0.7974094567404426,0.5559607645875252,0.14185110663983905,0.15995975855130784,0.14222837022132798,0
BH,PJ,Shade,6804,0.6536287140594474,-2.37739791819308,3.2690795492781213,0.8426746933229935,-2.4496401299114683,4.847712027826851,0.660787771898883,0.6828336272780717,0.9032921810699589,0.5987654320987654,0.24441504997060554,0.08245149911816578,0.07436801881246326,0
BH,CS,Shade,4152,-0.32371164366408817,-2.140596878643163,1.5289074434362069,-0.27178961590216466,-3.938264783782625,2.8936138286884217,0.3352601156069364,0.41184971098265893,0.47928709055876684,0.30684007707129096,0.46844894026974954,0.12259152215799615,0.10211946050096339,0
Ricker,BEN,Sun,7991,0.42602335876106623,-0.5693498416102429,1.4198069053165132,0.09946791416497618,-0.8653481834182648,1.1504371930404258,0.8049055187085471,0.5807783756726317,0.6624953072206232,0.3788011512952071,0.23601551745713928,0.16793893129770993,0.21724439994994368,0
Ricker,GH,Sun,8000,0.5869232013603041,-0.9254495205856739,2.1552005773437237,-0.03763100767510652,-0.9767871978555617,0.8565357266701089,0.77475,0.4665,0.59025,0.263,0.3175,0.1825,0.237,0
Ricker,NAM,Sun,7991,1.12086863964876,-0.10471609295838635,2.4695310763234937,0.300534638757088,-0.6296442546737322,1.3172291244261911,0.9635840320360406,0.7459642097359529,0.7535977975222125,0.5341008634714053,0.1167563508947566,0.1450381679389313,0.20410461769490676,0
Ricker,PJ,Sun,8000,0.06831673121064719,-0.38233005510727847,0.5629440724414471,0.021078598977684992,-0.8305147270692228,0.8368909472137722,0.61375,0.52025,0.5505,0.292625,0.2565,0.199,0.251875,0
Ricker,CS,Sun,7061,-1.0107510071268708,-3.430994274644339,1.4947718306490598,-0.4919998694868567,-2.810818166618102,1.5423283206936202,0.2234810933295567,0.2709247981872256,0.8412406174762781,0.18552612944342162,0.5943917292168248,0.09701175470896474,0.12307038663078884,0
Ricker,BEN,Shade,7963,0.4965007025335135,-0.8748659870956914,1.8745841102527059,0.008630894267529778,-1.1273244723647629,1.3709258933799349,0.7605173929423584,0.5055883461007158,0.669722466407133,0.32877056385784253,0.31231947758382517,0.1611201808363682,0.19778977772196407,0
Ricker,GH,Shade,8000,0.378203758805032,-0.5955670506049703,1.3052707726697848,-0.15815251214162251,-1.052216708258633,0.7123703758795243,0.78325,0.365,0.49475,0.18325,0.399375,0.18925,0.228125,0
Ricker,NAM,Shade,7999,0.6489153759260773,-0.3640235677581507,1.6367354028791228,0.07601231437670157,-0.8301550216579201,0.9734281730774744,0.8979872484060507,0.5629453681710214,0.6074509313664208,0.3427928491061383,0.2315289411176397,0.18527315914489312,0.24040505063132891,0
Ricker,PJ,Shade,6895,0.7498737778082796,-2.2315313213645793,3.222888227091217,0.21399064914051263,-1.0657493205081119,2.860761079452338,0.690065264684554,0.6201595358955765,0.8044960116026106,0.47106598984771575,0.24394488759970995,0.12313270485859318,0.16185641769398115,0
Ricker,CS,Shade,7395,-0.4906518624628754,-1.8175024205638852,0.8705346014893887,-0.3859138965248166,-2.376686970859586,1.342481673886327,0.24354293441514538,0.2896551724137931,0.7926977687626775,0.18553076402974983,0.55605138607167,0.1110209601081812,0.14739688979039892,0
