"focsp","Site","Cov","alpha_ii_med","alpha_ii_lwr","alpha_ii_upr","alpha_ij_med","alpha_ij_lwr","alpha_ij_upr"
"TRCY","BEN","Shade",0.0108006481855101,0.00412724006223369,0.0193310226884814,0.0193249716761941,0.00818425029545646,0.0324006846341004
"TRCY","BEN","Sun",0.0108006481855101,0.00412724006223369,0.0193310226884814,0.0193249716761941,0.00818425029545646,0.0324006846341004
"TRCY","GH","Shade",0.0108006481855101,0.00412724006223369,0.0193310226884814,0.0193249716761941,0.00818425029545646,0.0324006846341004
"TRCY","GH","Sun",0.0108006481855101,0.00412724006223369,0.0193310226884814,0.0193249716761941,0.00818425029545646,0.0324006846341004
"TRCY","NAM","Shade",0.0108006481855101,0.00412724006223369,0.0193310226884814,0.0193249716761941,0.00818425029545646,0.0324006846341004
"TRCY","NAM","Sun",0.0108006481855101,0.00412724006223369,0.0193310226884814,0.0193249716761941,0.00818425029545646,0.0324006846341004
"TRCY","PJ","Shade",0.0108006481855101,0.00412724006223369,0.0193310226884814,0.0193249716761941,0.00818425029545646,0.0324006846341004
"TRCY","PJ","Sun",0.0108006481855101,0.00412724006223369,0.0193310226884814,0.0193249716761941,0.00818425029545646,0.0324006846341004
"TRCY","CS","Shade",0.0108006481855101,0.00412724006223369,0.0193310226884814,0.0193249716761941,0.00818425029545646,0.0324006846341004
"TRCY","CS","Sun",0.0108006481855101,0.00412724006223369,0.0193310226884814,0.0193249716761941,0.00818425029545646,0.0324006846341004
"TROR","BEN","Shade",0.0150996607554719,0.00474581424690685,0.0300562436883832,0.00908230866856315,0.00371098735171928,0.0158678783229053
"TROR","BEN","Sun",0.0150996607554719,0.00474581424690685,0.0300562436883832,0.00908230866856315,0.00371098735171928,0.0158678783229053
"TROR","GH","Shade",0.0150996607554719,0.00474581424690685,0.0300562436883832,0.00908230866856315,0.00371098735171928,0.0158678783229053
"TROR","GH","Sun",0.0150996607554719,0.00474581424690685,0.0300562436883832,0.00908230866856315,0.00371098735171928,0.0158678783229053
"TROR","NAM","Shade",0.0150996607554719,0.00474581424690685,0.0300562436883832,0.00908230866856315,0.00371098735171928,0.0158678783229053
"TROR","NAM","Sun",0.0150996607554719,0.00474581424690685,0.0300562436883832,0.00908230866856315,0.00371098735171928,0.0158678783229053
"TROR","PJ","Shade",0.0150996607554719,0.00474581424690685,0.0300562436883832,0.00908230866856315,0.00371098735171928,0.0158678783229053
"TROR","PJ","Sun",0.0150996607554719,0.00474581424690685,0.0300562436883832,0.00908230866856315,0.00371098735171928,0.0158678783229053
"TROR","CS","Shade",0.0150996607554719,0.00474581424690685,0.0300562436883832,0.00908230866856315,0.00371098735171928,0.0158678783229053
"TROR","CS","Sun",0.0150996607554719,0.00474581424690685,0.0300562436883832,0.00908230866856315,0.00371098735171928,0.0158678783229053
